Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Wine ratings count,Wine type,Link to wine,User cellar count
Farnese,Edizione Cinque Autoctoni,,Abruzzo,Italy,Central Italy Red,4.3,69037,Red Wine,https://www.vivino.com/wines/1469676,1
Araldica,Brachetto d'Acqui Dolce Spumante,,Brachetto d'Acqui,Italy,,3.9,1634,Sparkling,https://www.vivino.com/wines/1507581,1
Terre da Vino,Barolo Riserva,2007,Barolo,Italy,Italian Barolo,3.8,2137,Red Wine,https://www.vivino.com/wines/3670245,1
Lambardi,Brunello di Montalcino,2012,Brunello di Montalcino,Italy,Italian Brunello,4.1,1203,Red Wine,https://www.vivino.com/wines/9423701,1
Golden Hawk,Black Label Shiraz,,Vino d'Italia,Italy,,3.4,91,Red Wine,https://www.vivino.com/wines/15083063,1
Cesari,Bosan Valpolicella Ripasso Superiore,2016,Valpolicella Ripasso,Italy,Italian Ripasso,4.0,8928,Red Wine,https://www.vivino.com/wines/111534179,1
Pasqua Vigneti e Cantine,Black Label Amarone della Valpolicella,2016,Amarone della Valpolicella,Italy,Italian Amarone,4.1,8230,Red Wine,https://www.vivino.com/wines/112308115,1
Krohn,Late Bottled Vintage Port,2015,Porto,Portugal,Late Bottled Vintage Port (LBV),4.0,705,Fortified Wine,https://www.vivino.com/wines/141847529,1
1000 Stories,Gold Rush Red,2016,California,United States,Californian Red Blend,3.9,6073,Red Wine,https://www.vivino.com/wines/147823610,1
Abadía Retuerta,Selección Especial,2017,Sardón de Duero,Spain,Spanish Red,4.2,45262,Red Wine,https://www.vivino.com/wines/150287130,2
Marqués de Riscal,Rioja Reserva,2017,Rioja,Spain,Spanish Rioja Red,4.0,194804,Red Wine,https://www.vivino.com/wines/150317987,1
Pelassa,Sot Nebbiolo d'Alba,2016,Nebbiolo d'Alba,Italy,Italian Nebbiolo,3.8,880,Red Wine,https://www.vivino.com/wines/152470868,2
Domaine Le Mur-Mur-Ium,Mammouth  Cuvée Tronconique Grenache,2017,Rhone Valley,France,,4.0,1223,Red Wine,https://www.vivino.com/wines/153301093,2
Gran Appasso,Edizione Old Vines Primitivo,2016,Puglia,Italy,Southern Italy Red,4.3,2680,Red Wine,https://www.vivino.com/wines/155036894,1
Charles Smith,The Velvet Devil Merlot,2018,Washington,United States,Washington State Merlot,3.6,20486,Red Wine,https://www.vivino.com/wines/156269425,1
Castaño,Castaño Colección Cepas Viejas,2018,Yecla,Spain,Spanish Red,3.4,3634,Red Wine,https://www.vivino.com/wines/156429945,1
Enzo Bartoli,Barbera d’Asti Superiore,2018,Barbera d'Asti,Italy,Italian Barbera,4.0,15450,Red Wine,https://www.vivino.com/wines/156551925,2
